num_expediente;tipo_accidente;distrito;estado_meteorologico;franja_horaria;tipo_via;coordenada_x_utm;coordenada_y_utm;fecha;hora_numero;nivel_lesividad
2024S028097;Colisión doble;SAN BLAS-CANILLEJAS;Lluvia débil;Tarde;Vías de pequeño tamaño;448228,0;4475124,0;2024-10-07;16;0
2024S028098;Otras causas;CARABANCHEL;Lluvia débil;Tarde;Vías de pequeño tamaño;438046,0;4471246,0;2024-10-07;16;0
2024S028099;Colisión doble;CENTRO;Despejado;Tarde;Vías de pequeño tamaño;439736,0;4473670,0;2024-10-06;17;0
2024S028100;Alcance;RETIRO;LLuvia intensa;Tarde;Vías de pequeño tamaño;443469,0;4474636,0;2024-10-07;16;0
2024S028101;Alcance;FUENCARRAL-EL PARDO;Nublado;Noche;Vías de pequeño tamaño;441291,0;4482766,0;2024-10-06;21;1
2024S028102;Choque;SAN BLAS-CANILLEJAS;Lluvia débil;Mediodía;Vías de gran tamaño;451779,0;4477296,0;2024-10-07;15;0
2024S028103;Choque;PUENTE DE VALLECAS;Lluvia débil;Tarde;Vías de pequeño tamaño;445501,0;4470979,0;2024-10-07;16;0
2024S028104;Colisión doble;CHAMBERÍ;Lluvia débil;Tarde;Vías de pequeño tamaño;440351,0;4477581,0;2024-10-07;17;0
2024S028105;Alcance;RETIRO;Lluvia débil;Tarde;Vías de pequeño tamaño;443162,0;4473681,0;2024-10-07;16;0
2024S028106;Caída;CIUDAD LINEAL;LLuvia intensa;Tarde;Vías de gran tamaño;446751,0;4473885,0;2024-10-07;16;1
2024S028107;Colisión doble;PUENTE DE VALLECAS;Lluvia débil;Tarde;Vías de gran tamaño;443181,0;4471017,0;2024-10-07;16;0
2024S028108;Colisión doble;HORTALEZA;Lluvia débil;Tarde;Vías de pequeño tamaño;444669,0;4483520,0;2024-10-07;17;0
2024S028109;Colisión doble;USERA;Lluvia débil;Tarde;Vías de pequeño tamaño;439647,0;4468674,0;2024-10-07;16;0
2024S028110;Caída;CENTRO;Lluvia débil;Mediodía;Vías de pequeño tamaño;439248,0;4474046,0;2024-10-07;15;1
2024S028111;Choque;LATINA;Lluvia débil;Tarde;Vías de pequeño tamaño;438449,0;4473353,0;2024-10-07;17;1
2024S028114;Colisión doble;SALAMANCA;LLuvia intensa;Tarde;Vías de pequeño tamaño;442661,0;4476094,0;2024-10-07;17;1
2024S028115;Atropello a persona;TETUÁN;LLuvia intensa;Tarde;Vías de pequeño tamaño;441312,0;4478819,0;2024-10-07;16;1
2024S028117;Alcance;TETUÁN;LLuvia intensa;Tarde;Vías de gran tamaño;439972,0;4477631,0;2024-10-07;16;1
2024S028121;Colisión doble;MORATALAZ;Lluvia débil;Tarde;Vías de pequeño tamaño;444898,0;4472555,0;2024-10-07;18;1
2024S028122;Caída;SALAMANCA;Lluvia débil;Tarde;Vías de gran tamaño;443925,0;4476406,0;2024-10-07;18;1
2024S028123;Caída;CHAMARTÍN;Nublado;Tarde;Vías de gran tamaño;441532,0;4479251,0;2024-10-07;18;1
2024S028124;Caída;LATINA;Lluvia débil;Tarde;Vías de pequeño tamaño;438056,0;4472641,0;2024-10-07;18;1
2024S028125;Colisión doble;PUENTE DE VALLECAS;LLuvia intensa;Tarde;Vías de pequeño tamaño;443650,0;4471147,0;2024-10-07;17;0
2024S028126;Caída;CENTRO;Despejado;Noche;Vías de pequeño tamaño;440206,0;4474012,0;2024-10-06;22;1
2024S028127;Alcance;CHAMARTÍN;Nublado;Tarde;Plazas o glorietas;441845,0;4478132,0;2024-10-07;18;1
2024S028128;Colisión doble;HORTALEZA;Nublado;Tarde;Vías de pequeño tamaño;445926,0;4480003,0;2024-10-07;19;1
2024S028129;Colisión doble;MONCLOA-ARAVACA;Despejado;Tarde;Vías rápidas o carreteras;438710,0;4474323,0;2024-10-07;18;0
2024S028131;Otras causas;CARABANCHEL;Lluvia débil;Noche;Vías de pequeño tamaño;436848,0;4468344,0;2024-10-07;20;0
2024S028132;Colisión doble;LATINA;Lluvia débil;Tarde;Vías de pequeño tamaño;435209,0;4471974,0;2024-10-07;19;0
2024S028133;Choque;SAN BLAS-CANILLEJAS;Nublado;Tarde;Vías de pequeño tamaño;447037,0;4475135,0;2024-10-07;19;0
2024S028134;Otras causas;TETUÁN;Lluvia débil;Mediodía;Vías de pequeño tamaño;441345,0;4480279,0;2024-10-07;15;0
2024S028135;Colisión doble;SAN BLAS-CANILLEJAS;Lluvia débil;Tarde;Vías de gran tamaño;448437,0;4476183,0;2024-10-07;18;1
2024S028136;Alcance;SALAMANCA;Despejado;Tarde;Plazas o glorietas;441473,0;4475199,0;2024-10-07;19;0
2024S028137;Caída;SALAMANCA;LLuvia intensa;Mediodía;Vías de pequeño tamaño;442632,0;4475091,0;2024-10-07;15;1
2024S028139;Colisión doble;RETIRO;Lluvia débil;Tarde;Vías de pequeño tamaño;442847,0;4474395,0;2024-10-07;18;0
2024S028140;Alcance;FUENCARRAL-EL PARDO;Lluvia débil;Noche;Vías de gran tamaño;442016,0;4481888,0;2024-10-07;20;0
2024S028141;Colisión doble;LATINA;Lluvia débil;Noche;Vías de gran tamaño;434888,0;4471358,0;2024-10-07;21;0
2024S028142;Atropello a persona;LATINA;Lluvia débil;Noche;Vías de gran tamaño;434772,0;4471960,0;2024-10-07;20;1
2024S028143;Caída;TETUÁN;Lluvia débil;Noche;Vías de pequeño tamaño;441185,0;4479297,0;2024-10-07;21;1
2024S028145;Alcance;VILLA DE VALLECAS;Nublado;Noche;Vías de pequeño tamaño;444453,0;4469637,0;2024-10-07;21;0
2024S028146;Atropello a persona;FUENCARRAL-EL PARDO;Lluvia débil;Noche;Vías de pequeño tamaño;442320,0;4483398,0;2024-10-07;20;2
2024S028148;Alcance;CIUDAD LINEAL;Lluvia débil;Noche;Vías de pequeño tamaño;445004,0;4476031,0;2024-10-07;21;1
2024S028150;Caída;CHAMARTÍN;Despejado;Noche;Vías de pequeño tamaño;442249,0;4477153,0;2024-10-07;23;1
2024S028151;Choque;SALAMANCA;Nublado;Madrugada;Vías de pequeño tamaño;442067,0;4476435,0;2024-10-08;0;0
2024S028152;Otras causas;VILLA DE VALLECAS;Despejado;Noche;Vías de gran tamaño;444508,0;4468512,0;2024-10-07;23;0
2024S028156;Colisión doble;CIUDAD LINEAL;Despejado;Madrugada;Vías rápidas o carreteras;443809,0;4478007,0;2024-10-08;5;1
2024S028158;Colisión múltiple;TETUÁN;Despejado;Madrugada;Vías de pequeño tamaño;439670,0;4478549,0;2024-10-08;5;0
2024S028160;Alcance;VILLAVERDE;Nublado;Mañana;Vías de pequeño tamaño;439872,0;4466416,0;2024-10-07;9;0
